iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,34.197214126586914,-6.573379097482538,6.145109321371515,17.29052949115776,-36.58021638020421,0.0,1.2536531741651342,0.05,0.335817813873291,0.5915677547454834,0.025641024,0.038613174,-6.573379097482538,0.0,40000,0.6713283061981201,0.9818043920206743,0.4254159265114857,-3.639331455928894,0.0
1,34.287293672561646,-7.3593526973583145,10.183670078263514,56.31396172675418,-75.44491384605496,0.0,1.5714694636464905,0.05,0.02145218849182129,0.6024715900421143,0.022941822,0.024933673,-6.6519764574701155,0.0,40000,1.235625982284546,0.5914984769162553,0.332450471856162,-3.572510421071842,0.0
2,34.368326902389526,-6.18539137230272,11.725529865150266,125.37185034033273,-61.69278233736768,0.0,2.2508056612650784,0.05,0.021857261657714844,0.5973415374755859,0.023980945,0.024745,-6.605317948953376,0.0,40000,1.6479511260986328,0.5855402048834161,0.5172850723301058,-4.200717726670729,0.0
3,34.770198583602905,-7.679649928547922,10.537503309661457,19.285160253385676,-81.86107399671835,0.0,1.9607467828297849,0.05,0.022497892379760742,0.5942745208740234,0.025978772,0.026256938,-6.71275114691283,0.0,40000,1.4883193969726562,0.3227957468846932,0.23963385002529528,-3.508682877128966,0.0
4,34.90349197387695,-6.699082372203858,9.086219639539525,62.735340399304285,-44.39816113373937,0.0,2.332206549732223,0.05,0.022850751876831055,0.5969676971435547,0.025272883,0.022107692,-6.7113842694419334,0.0,40000,1.4802074432373047,0.42661322661226575,0.3722642971889459,-3.385904937554804,0.0
5,35.04309916496277,-7.0629660359720265,10.226636372490923,45.63209131166289,-66.45790925153106,0.0,2.2621692055316145,0.05,0.023068904876708984,0.5961408615112305,0.025347779,0.022026362,-6.746542446094943,0.0,40000,1.4826033115386963,0.3378188874500364,0.27691629454842215,-3.451311119018957,0.0
6,35.11626052856445,-8.351468561606527,15.380591410547515,19.00108795504952,-144.78426977310914,0.0,2.0191456936017085,0.05,0.02037835121154785,0.5994060039520264,0.024383312,0.021922186,-6.907035057646102,0.0,40000,1.5299065113067627,0.408735916360411,0.30572748901312263,-3.658152924861666,0.0
7,34.85754990577698,-7.444601653537752,9.380834682728777,17.198778565540632,-38.924849836452026,0.0,2.501000111499082,0.05,0.02181863784790039,0.5954141616821289,0.024767442,0.019717367,-6.960791717235267,0.0,40000,1.439075231552124,0.27219263088583817,0.2082213582641241,-3.8258440418393396,0.0
8,34.61246657371521,-9.14190970710701,12.428999181502153,14.847721557690916,-84.20098558503592,0.0,2.631774403850967,0.05,0.022191286087036133,0.6102504730224609,0.023379792,0.018154722,-7.178903516222442,0.0,40000,1.420588731765747,0.20687076625159265,0.16860694648557928,-4.0539016627964735,0.0
9,34.754531145095825,-6.783328227192721,9.932886733222503,15.875580583782144,-84.7520847995697,0.0,1.935382640007961,0.05,0.02591109275817871,0.6046311855316162,0.025051061,0.029345963,-7.13934598731947,0.0,40000,1.406440258026123,0.3337896073322651,0.26620084379256875,-4.204150040116293,0.0
10,34.86659002304077,-7.5725516827473935,16.232848886718333,41.267110869957996,-185.8879523249375,0.0,1.7115752623899663,0.05,0.02314138412475586,0.5994923114776611,0.025042308,0.023512825,-7.182666556862263,0.0,40000,1.3677306175231934,0.4551091689036627,0.31402291069552085,-3.328348671686906,0.0
11,35.11359262466431,-7.034398166224539,16.249037128006965,133.284936823245,-97.3170679971493,0.0,2.3618774273403575,0.05,0.022264480590820312,0.5878515243530273,0.023922222,0.022590084,-7.167839717798492,0.0,40000,1.367823839187622,0.5004474863138987,0.43661098706627915,-5.085917591153318,0.0
12,34.93605995178223,-7.078798843297494,13.601530726839353,50.66593483343026,-111.848492719438,0.0,2.3421176170741282,0.05,0.0214540958404541,0.5703437328338623,0.02395476,0.020126296,-7.158935630348392,0.0,40000,1.377936601638794,0.2901402809213287,0.23230353868959236,-3.8095164876052525,0.0
13,35.059210777282715,-6.251798244216896,19.586175185735186,199.21558125511172,-120.287640613073,0.0,2.1319850574639876,0.05,0.0202176570892334,0.585515022277832,0.025539704,0.032507356,-7.068221891735242,0.0,40000,1.359628438949585,0.521212257362101,0.4631174105620925,-4.284145447050184,0.0
14,34.86643433570862,-7.657562758773804,9.838639148756277,28.399073786196237,-55.50931834288575,0.0,2.2962814038809083,0.05,0.0214385986328125,0.5875523090362549,0.024403796,0.02077943,-7.127155978439099,0.0,40000,1.3979132175445557,0.24558591000780342,0.18419797872600988,-5.177713603396984,0.0
15,34.91341543197632,-7.377518470733091,8.802961559231719,14.633282283846453,-45.72820885387609,0.0,2.339980896683696,0.05,0.07238268852233887,0.6214780807495117,0.024707288,0.021283112,-7.152192227668499,0.0,40000,1.3889646530151367,0.26217903860093544,0.20696879471641683,-4.7887342007398,0.0
